trialNum,lVal,rVal,firstVal,secondVal,chosenVal,leftChosen,firstChosen,liftRT,reachRT,firstIsLeft,firstIsRight,secondIsLeft,secondIsRight,firstFixLat,secondFixLat,thirdFixLat,firstFixDur,secondFixDur,thirdFixDur
546,5,3,5,3,5,1,1,0.626927813515067,0.153487641364336,1,0,0,1,0.13,0.382,0.546,0.212,0.124,0.332
555,3,5,5,3,5,-0,1,0.785951344296336,0.154047142714262,0,1,1,0,0.257,0.513,0.721,0.212,0.156,0.612
564,1,5,5,1,5,-0,1,0.707326462492347,0.139201257377863,0,1,1,0,0.146,0.418,0.626,0.232,0.16,0.632
568,3,5,5,3,5,-0,1,0.653830740600824,0.16202331520617,0,1,1,0,0.138,0.382,0.582,0.204,0.148,0.616
574,5,1,5,1,5,1,1,0.737066853791475,0.17236109264195,1,0,0,1,0.156,0.412,0.616,0.208,0.16,0.5
577,5,4,5,4,5,1,1,0.712347887456417,0.173288937658072,1,0,0,1,0.17,0.458,0.634,0.244,0.12,0.408
592,5,2,5,2,5,1,1,0.678852340206504,0.172311890870333,1,0,0,1,0.152,0.36,0.552,0.168,0.14,0.572
602,5,5,5,5,5,-0,1,0.717306857928634,0.155487950891256,0,1,1,0,0.164,0.408,0.584,0.2,0.128,0.696
605,3,5,5,3,5,-0,1,0.87710327282548,0.162609547376633,0,1,1,0,0.192,0.58,0.808,0.344,0.188,0.548
2,4,5,5,4,5,-0,1,0.707100536674261,0.13961305655539,0,1,1,0,0.162,0.414,0.642,0.208,0.188,0.412
7,5,5,5,5,5,-0,0,0.87728869728744,0.14401020295918,1,0,0,1,0.167,0.403,0.699,0.184,0.236,0.0720000000000001
24,3,5,5,3,3,1,0,0.877300383523107,0.149237992241979,0,1,1,0,0.24,0.464,NaN,0.176,0.504,NaN
