trialNum,firstVal,secondVal,firstIsChosen,decisionRT,firstFixLat,secondFixLat,thirdFixLat
357,3,1,1,0.710525801405311,0.22,0.476,0.648
363,3,4,1,0.797149883583188,0.161,0.437,0.665
364,3,1,1,0.871805896982551,0.177,0.469,0.717
366,3,5,0,0.84749486669898,0.16,0.404,NaN
375,3,3,1,0.92702760361135,0.176,0.496,0.732
378,3,1,1,0.649564115330577,0.177,0.473,0.641
380,3,3,1,0.796898322179914,0.169,0.417,0.633
402,3,1,1,0.889089981094003,0.159,0.427,0.711
403,3,3,1,1.07396684959531,0.251,0.619,0.871
405,3,3,1,0.886921409517527,0.145,0.405,0.653
411,3,1,1,0.746885688975453,0.179,0.455,0.635
421,3,4,0,0.927199145779014,0.159,0.415,0.707
434,3,2,1,0.817155539989471,0.215,0.475,0.727
437,3,1,1,0.876960400491953,0.138,0.386,0.638
478,3,4,1,0.655753076076508,0.164,0.428,0.624
480,3,1,1,0.867211196571589,0.217,0.477,0.725
499,3,4,0,0.947096068412066,0.254,0.498,NaN
510,3,5,0,0.857253300026059,0.189,0.441,NaN
514,3,3,1,0.789964649826288,0.153,0.429,0.633
525,3,2,1,0.811172425746918,0.159,0.375,0.623
537,3,1,1,0.856986841186881,0.145,0.417,0.689
562,3,1,1,0.879524327814579,0.159,0.447,0.711
563,3,5,0,0.917806223034859,0.142,0.402,NaN
564,3,1,1,0.877061670646071,0.15,0.402,0.718
2,3,4,0,0.827416073530912,0.147,0.399,NaN
4,3,2,0,0.947105659171939,0.141,0.417,NaN
6,3,3,1,0.936966279521585,0.229,0.505,0.813
12,3,4,1,0.816986527293921,0.14,0.392,0.688
14,3,4,0,0.756897728890181,0.172,0.404,NaN
17,3,3,0,0.767298499122262,0.16,0.42,NaN
19,3,3,1,1.09737224690616,0.196,0.448,0.856
30,3,4,1,0.876909725368023,0.221,0.481,0.697
35,3,3,1,1.03723240830004,0.143,0.431,0.899
45,3,2,1,0.927124558016658,0.165,0.425,0.793
52,3,3,1,0.857010083273053,0.162,0.426,0.686
66,3,3,1,0.977069340646267,0.153,0.413,0.761
76,3,4,1,0.907082954421639,0.164,0.412,0.672
82,3,4,0,0.967042922973633,0.194,0.454,0.718
85,3,4,0,0.837235713377595,0.177,0.413,NaN
89,3,1,1,0.766941037029028,0.13,0.378,0.61
90,3,3,0,0.937805963680148,0.173,0.425,NaN
95,3,2,1,0.83688086271286,0.152,0.428,0.668
157,3,3,1,0.82734501734376,0.17,0.414,0.638
183,3,3,1,0.887145582586527,0.164,0.424,0.68
191,3,2,1,0.926978280767798,0.163,0.471,0.771
224,3,4,0,0.907160436734557,0.182,0.434,NaN
229,3,2,1,0.917143169790506,0.163,0.415,0.687
230,3,1,1,0.897107401862741,0.143,0.375,0.659
242,3,2,1,0.947457026690245,0.166,0.418,0.71
255,3,2,1,1.03698141686618,0.243,0.491,0.843
260,3,5,0,0.846865117549896,0.138,0.406,NaN
267,3,3,0,1.04748055525124,0.152,0.412,NaN
274,3,4,0,0.917122574523091,0.156,0.4,NaN
295,3,5,0,0.877051120623946,0.161,0.441,NaN
297,3,4,1,1.22732744365931,0.203,0.515,0.939
316,3,3,1,1.72699736058712,0.154,0.398,1.55
319,3,2,1,0.866864357143641,0.191,0.435,0.679
320,3,3,1,0.747513024136424,0.153,0.417,0.677
345,3,3,0,0.997296964749694,0.227,0.499,NaN
352,3,3,1,0.967323927208781,0.178,0.438,0.726
355,3,4,1,0.837240643799305,0.143,0.387,0.635
404,3,1,1,0.714751966297626,0.172,0.428,0.616
413,3,4,0,0.96716552041471,0.178,0.446,NaN
417,3,3,1,0.797244802117348,0.142,0.398,0.63
424,3,3,1,0.917212557047606,0.161,0.365,0.717
430,3,2,1,0.936953777447343,0.255,0.475,0.715
435,3,3,1,0.967505754902959,0.172,0.392,0.652
446,3,2,1,0.737271631136537,0.14,0.396,0.64
458,3,1,1,0.744816178455949,0.168,0.456,0.64
474,3,3,1,0.74687865935266,0.157,0.389,0.673
481,3,3,1,0.807218600064516,0.184,0.412,0.616
516,3,3,1,1.05721705406904,0.143,0.419,0.855
572,3,4,0,0.867353150621057,0.152,0.364,NaN
578,3,4,1,1.03713235259056,0.16,0.44,0.7
604,3,2,1,0.98698483966291,0.154,0.362,0.686
1,3,5,0,0.807223379611969,0.186,0.426,NaN
3,3,3,0,0.797273244708776,0.163,0.507,NaN
48,3,2,0,0.827011451125145,0.164,0.416,NaN
72,3,4,0,0.787127016112208,0.15,0.394,NaN
77,3,4,0,0.737221211194992,0.148,0.396,NaN
117,3,3,0,0.707417819648981,0.149,0.357,NaN
123,3,2,0,0.75712351500988,0.157,0.393,NaN
124,3,2,0,0.797173652797937,0.146,0.382,NaN
128,3,3,0,0.837445246055722,0.239,0.479,NaN
134,3,4,0,0.867068352177739,0.186,0.43,NaN
137,3,3,0,0.717217748984694,0.148,0.38,NaN
144,3,3,0,0.807012429460883,0.149,0.389,NaN
156,3,1,1,0.947220094501972,0.21,0.442,0.718
160,3,4,0,0.827027630060911,0.179,0.415,NaN
165,3,3,0,0.747021174058318,0.151,0.379,NaN
168,3,3,0,0.897095441818237,0.192,0.416,NaN
171,3,2,0,0.797170480713248,0.164,0.452,NaN
185,3,3,0,0.944991560652852,0.16,0.38,0.692
188,3,4,0,0.877053359523416,0.141,0.393,NaN
215,3,3,0,0.827094284817576,0.147,0.379,NaN
216,3,3,0,0.817178072407842,0.135,0.391,NaN
231,3,3,0,0.827162878587842,0.152,0.388,NaN
233,3,3,0,0.816937582567334,0.153,0.393,NaN
244,3,1,1,0.927396699786186,0.136,0.36,0.652
261,3,1,0,0.957261079922318,0.189,0.413,NaN
280,3,3,0,0.8269631434232,0.211,0.435,NaN
286,3,3,0,0.837604934349656,0.139,0.411,NaN
293,3,5,0,0.797124452888966,0.16,0.388,NaN
313,3,3,0,0.947050590068102,0.174,0.426,NaN
314,3,1,1,0.966951671987772,0.218,0.47,0.738
318,3,4,1,0.947331955656409,0.167,0.427,0.715
327,3,2,1,1.03714180365205,0.209,0.445,0.817
333,3,4,0,0.956951078027487,0.16,0.436,NaN
338,3,1,0,3.91702809557319,0.171,0.395,0.679
354,3,5,0,0.807491088286042,0.156,0.412,NaN
359,3,2,1,1.09718062728643,0.176,0.432,0.788
371,3,3,0,0.81686482951045,0.16,0.404,NaN
372,3,5,0,0.797113012522459,0.159,0.387,NaN
395,3,3,0,0.826989369466901,0.164,0.404,NaN
400,3,2,0,0.847107019275427,0.183,0.439,NaN
408,3,2,1,0.877442255616188,0.207,0.443,0.707
439,3,1,1,0.836915753781796,0.154,0.398,0.658
452,3,4,0,0.876982530578971,0.217,0.457,NaN
453,3,2,1,1.03731449320912,0.137,0.389,0.737
462,3,1,0,0.7867492120713,0.222,0.462,NaN
465,3,5,0,0.76722102612257,0.154,0.374,NaN
470,3,1,0,0.916921177878976,0.259,0.503,NaN
475,3,1,1,0.877009375020862,0.179,0.411,0.699
477,3,3,0,0.816845698282123,0.217,0.441,NaN
493,3,5,0,0.757160101085901,0.163,0.407,NaN
500,3,2,0,0.817322205752134,0.237,0.457,NaN
513,3,3,0,0.886969618499279,0.171,0.387,NaN
523,3,3,0,1.01719230413437,0.213,0.469,NaN
524,3,3,0,0.886892797425389,0.168,0.42,NaN
528,3,1,1,0.906896270811558,0.148,0.396,0.684
534,3,5,0,0.867251811549067,0.248,0.496,NaN
535,3,2,0,0.86720328964293,0.19,0.438,NaN
